perturbation_id,gene,type,factor,rescue_score,rescue_score_cosine,moves_toward_healthy,moves_toward_healthy_cosine
KD_MAP1B_0.2_ALS,MAP1B,knock_down,0.2,0.013119483519619852,0.0005462975752507093,False,False
KD_MAP1B_0.5_ALS,MAP1B,knock_down,0.5,-0.00016695245626946117,4.586395041417113e-06,True,False
KD_KHDRBS2_0.2_ALS,KHDRBS2,knock_down,0.2,0.006403669472362209,0.0001645659181093162,False,False
KD_KHDRBS2_0.5_ALS,KHDRBS2,knock_down,0.5,-0.00288928352691409,-6.494729046002679e-05,True,True
KD_DMD_0.2_ALS,DMD,knock_down,0.2,0.025969258550466882,0.0012464131458093108,False,False
KD_DMD_0.5_ALS,DMD,knock_down,0.5,0.00043462640756680715,3.4276495712637356e-05,False,False
KU_MAP1B_2.0_ALS,MAP1B,knock_up,2.0,0.007701622112330782,0.0003123173522243672,False,False
KU_MAP1B_3.0_ALS,MAP1B,knock_up,3.0,0.010520229574246077,0.00042416665808731047,False,False
KU_KHDRBS2_2.0_ALS,KHDRBS2,knock_up,2.0,0.0004727989432717558,3.503404863591797e-05,False,False
KU_KHDRBS2_3.0_ALS,KHDRBS2,knock_up,3.0,0.0018403508712038358,5.681945341273753e-05,False,False
KU_DMD_2.0_ALS,DMD,knock_up,2.0,0.002314996260796138,9.885029410428015e-05,False,False
KU_DMD_3.0_ALS,DMD,knock_up,3.0,0.004718261079566341,0.00018601030658216278,False,False
