perturbation_id,gene,type,factor,centroid_shift,cosine_shift,mean_cell_shift,median_cell_shift,std_cell_shift,neighborhood_preservation,rescue_score,rescue_score_cosine,moves_toward_healthy
KD_DMD_0.2_ALS,DMD,knock_down,0.2,0.05466862700100385,0.002442302602925106,0.10204780432266275,0.02209849807689706,0.1712358066039554,0.762,0.025969258550466882,0.0012464131458093108,False
KD_DMD_0.2_PN,DMD,knock_down,0.2,0.041446240876617566,0.0014840407413846401,0.0692586404067252,0.0,0.1722865631484662,0.8199999999999998,,,
KD_DMD_0.5_ALS,DMD,knock_down,0.5,0.018419531752743204,0.0003046705371961833,0.07609434129661874,0.020703296335818182,0.11157129262024341,0.8539999999999999,0.00043462640756680715,3.4276495712637356e-05,False
KD_DMD_0.5_PN,DMD,knock_down,0.5,0.034231941378931555,0.001028172622147494,0.05466368878321259,0.0,0.1613697398038433,0.872,,,
KD_KHDRBS2_0.2_ALS,KHDRBS2,knock_down,0.2,0.03230773922139747,0.0007739641867529068,0.06581848108579422,0.0,0.11788381519278338,0.8119999999999998,0.006403669472362209,0.0001645659181093162,False
KD_KHDRBS2_0.2_PN,KHDRBS2,knock_down,0.2,0.010874030815937878,0.00010499747907544155,0.031599158684525015,0.0,0.0704660767704546,0.9359999999999999,,,
KD_KHDRBS2_0.5_ALS,KHDRBS2,knock_down,0.5,0.012096945168712635,0.00013179984181888038,0.03957645988914453,0.0,0.06978186757260663,0.9,-0.00288928352691409,-6.494729046002679e-05,True
KD_KHDRBS2_0.5_PN,KHDRBS2,knock_down,0.5,0.01091991942177945,0.00010966373567056209,0.02808322608498134,0.0,0.06755876400512453,0.94,,,
KD_MAP1B_0.2_ALS,MAP1B,knock_down,0.2,0.04165317396312738,0.0015009143938593539,0.09130951580712614,0.0339158822794408,0.1384818395692695,0.79,0.013119483519619852,0.0005462975752507093,False
KD_MAP1B_0.2_PN,MAP1B,knock_down,0.2,0.03353481318205276,0.0010027897460085367,0.05287108915018956,0.0,0.1685728509667773,0.8759999999999999,,,
KD_MAP1B_0.5_ALS,MAP1B,knock_down,0.5,0.02703089920941449,0.0006139595404213161,0.06794027157829469,0.02228649050599297,0.10418049957898338,0.8540000000000001,-0.00016695245626946117,4.586395041417113e-06,True
KD_MAP1B_0.5_PN,MAP1B,knock_down,0.5,0.032298114324132265,0.0009372293755850469,0.05022660999020016,0.0,0.16739217431712822,0.8819999999999999,,,
KU_DMD_2.0_ALS,DMD,knock_up,2.0,0.020201214583889723,0.00035677146002555116,0.07227864654238751,0.0,0.11985245743865716,0.8340000000000001,0.002314996260796138,9.885029410428015e-05,False
KU_DMD_2.0_PN,DMD,knock_up,2.0,0.01806154689338078,0.0002135421817662797,0.047536195743043096,0.0,0.11488360569398133,0.8839999999999999,,,
KU_DMD_3.0_ALS,DMD,knock_up,3.0,0.021755726797489737,0.0004011850502463332,0.08958020933566836,0.020960591030312885,0.1365611022210534,0.7959999999999999,0.004718261079566341,0.00018601030658216278,False
KU_DMD_3.0_PN,DMD,knock_up,3.0,0.01628543989698554,0.0002404702953273663,0.051418242936601244,0.0,0.12057549132369406,0.88,,,
KU_KHDRBS2_2.0_ALS,KHDRBS2,knock_up,2.0,0.02055683108522218,0.0003539628515597526,0.06208365932591029,0.0,0.12574774074484296,0.85,0.0004727989432717558,3.503404863591797e-05,False
KU_KHDRBS2_2.0_PN,KHDRBS2,knock_up,2.0,0.007111548365170338,4.6677609044420976e-05,0.0226477644808233,0.0,0.04928553410326182,0.9719999999999999,,,
KU_KHDRBS2_3.0_ALS,KHDRBS2,knock_up,3.0,0.023037579881137825,0.00040064178119503246,0.0721550867130484,0.0,0.13750967394674685,0.8459999999999998,0.0018403508712038358,5.681945341273753e-05,False
KU_KHDRBS2_3.0_PN,KHDRBS2,knock_up,3.0,0.009398437219833635,8.050396022518669e-05,0.03602165881865991,0.0,0.0879673990847583,0.9039999999999999,,,
KU_MAP1B_2.0_ALS,MAP1B,knock_up,2.0,0.020608656353545855,0.0003552590852573534,0.05877143745377461,0.0,0.12026208423379502,0.856,0.007701622112330782,0.0003123173522243672,False
KU_MAP1B_2.0_PN,MAP1B,knock_up,2.0,0.015513390026468513,0.0001754450940538721,0.039175152101901034,0.0,0.09519357188387793,0.8839999999999999,,,
KU_MAP1B_3.0_ALS,MAP1B,knock_up,3.0,0.020800065237734845,0.000400842890398323,0.07586370626882602,0.04091884191190129,0.11874741487767454,0.868,0.010520229574246077,0.00042416665808731047,False
KU_MAP1B_3.0_PN,MAP1B,knock_up,3.0,0.009736335862701125,7.692967495331882e-05,0.03721874044855565,0.0,0.09296941053243162,0.8999999999999999,,,
